--------- beginning of main
09-16 23:51:01.093  6477  6505 E Unity   : java.lang.ClassNotFoundException: Didn't find class "com.google.android.play.core.assetpacks.AssetPackManager" on path: DexPathList[[zip file "/data/app/~~dbOJetSqehnWsm_cTMVpoQ==/com.DefaultCompany.GemRush3D-m9gewmI43C-trzpalFDYCw==/base.apk"],nativeLibraryDirectories=[/data/app/~~dbOJetSqehnWsm_cTMVpoQ==/com.DefaultCompany.GemRush3D-m9gewmI43C-trzpalFDYCw==/lib/arm64, /data/app/~~dbOJetSqehnWsm_cTMVpoQ==/com.DefaultCompany.GemRush3D-m9gewmI43C-trzpalFDYCw==/base.apk!/lib/arm64-v8a, /system/lib64, /system_ext/lib64]]
09-16 23:51:03.689  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.689  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.689  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.689  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:03.689  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:03.689  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.689  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.689  6477  6505 E Unity   : 
09-16 23:51:03.689  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819160]
09-16 23:51:03.689  6477  6505 E Unity   : 
09-16 23:51:03.691  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.691  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.691  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.691  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:03.691  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:03.691  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.691  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.691  6477  6505 E Unity   : 
09-16 23:51:03.691  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819160]
09-16 23:51:03.691  6477  6505 E Unity   : 
09-16 23:51:03.692  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.692  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.692  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.692  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:03.692  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:03.692  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.692  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.692  6477  6505 E Unity   : 
09-16 23:51:03.692  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819160]
09-16 23:51:03.692  6477  6505 E Unity   : 
09-16 23:51:03.693  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.693  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.693  6477  6505 E Unity   : 
09-16 23:51:03.693  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819224]
09-16 23:51:03.693  6477  6505 E Unity   : 
09-16 23:51:03.693  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.693  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.693  6477  6505 E Unity   : 
09-16 23:51:03.693  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819224]
09-16 23:51:03.693  6477  6505 E Unity   : 
09-16 23:51:03.693  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.693  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.693  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.693  6477  6505 E Unity   : 
09-16 23:51:03.693  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819224]
09-16 23:51:03.693  6477  6505 E Unity   : 
09-16 23:51:03.694  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.694  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.694  6477  6505 E Unity   : 
09-16 23:51:03.694  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819160]
09-16 23:51:03.694  6477  6505 E Unity   : 
09-16 23:51:03.694  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.694  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.694  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.694  6477  6505 E Unity   : 
09-16 23:51:03.694  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819160]
09-16 23:51:03.694  6477  6505 E Unity   : 
09-16 23:51:03.695  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.695  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.695  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.695  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:03.695  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.695  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.695  6477  6505 E Unity   : 
09-16 23:51:03.695  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819224]
09-16 23:51:03.695  6477  6505 E Unity   : 
09-16 23:51:03.696  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.696  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.696  6477  6505 E Unity   : 
09-16 23:51:03.696  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819224]
09-16 23:51:03.696  6477  6505 E Unity   : 
09-16 23:51:03.696  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.696  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.696  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.696  6477  6505 E Unity   : 
09-16 23:51:03.696  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819224]
09-16 23:51:03.696  6477  6505 E Unity   : 
09-16 23:51:03.697  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.697  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.697  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.697  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:03.697  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:03.697  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.697  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.697  6477  6505 E Unity   : 
09-16 23:51:03.697  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819160]
09-16 23:51:03.697  6477  6505 E Unity   : 
09-16 23:51:03.698  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.698  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.698  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:03.698  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:03.698  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:03.698  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:03.698  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.698  6477  6505 E Unity   : 
09-16 23:51:03.698  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121819160]
09-16 23:51:03.698  6477  6505 E Unity   : 
09-16 23:51:03.702  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.PlayerController:BuildEye(Transform, Material, Material, Vector3)
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.PlayerController:BuildVisuals()
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:AddComponent()
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.702  6477  6505 E Unity   : 
09-16 23:51:03.702  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817256]
09-16 23:51:03.702  6477  6505 E Unity   : 
